event_id,user_id,session_id,event_name,event_timestamp,product_id,revenue,quantity
9029365,1487307,6074768,homepage,2024-01-27 09:08:00,15215,0.0,0
9983252,3079768,7624597,purchase,2024-02-14 13:54:00,10238,349.16,4
9794360,2031261,4691988,product_view,2024-05-16 03:40:00,10674,0.0,0
7826665,3932885,7690679,homepage,2024-01-20 12:56:00,17786,0.0,0
6057936,1901589,7670019,add_to_cart,2024-10-01 19:11:00,14138,0.0,0
8402574,4532674,3212578,homepage,2024-06-19 11:37:00,17371,0.0,0
8996250,3963573,6011477,product_view,2024-01-27 05:26:00,18426,0.0,0
9268222,3271759,2656672,product_view,2024-03-10 11:30:00,13418,0.0,0
9009755,1839482,7079311,homepage,2024-10-14 11:23:00,17162,0.0,0
7400490,3920271,7735771,checkout,2024-12-25 08:22:00,12414,0.0,0
8449813,2323999,2252693,homepage,2024-03-24 00:03:00,10087,0.0,0
6739747,4298463,6419198,product_view,2024-08-11 02:59:00,19602,0.0,0
6118542,3383193,7153155,product_view,2024-11-01 12:53:00,12382,0.0,0
7012099,4457973,4858388,homepage,2024-02-05 00:13:00,12602,0.0,0
7059977,3948192,4411332,checkout,2024-06-10 15:18:00,19233,0.0,0
6028782,1665885,6753150,product_view,2024-02-22 01:29:00,14997,0.0,0
6306245,1857220,5862909,add_to_cart,2024-02-17 22:46:00,19392,0.0,0
8655268,4356741,5662612,add_to_cart,2024-03-13 04:18:00,17858,0.0,0
7401113,1045502,6808200,checkout,2024-01-11 09:57:00,17276,0.0,0
6320280,1238006,4668250,product_view,2024-08-08 19:34:00,14982,0.0,0
6116664,4281034,2592472,homepage,2024-09-01 09:03:00,12732,0.0,0
8148101,3767197,4533588,homepage,2024-08-28 01:15:00,19531,0.0,0
8253837,1705909,3121841,homepage,2024-06-05 11:43:00,17133,0.0,0
6651087,4113939,5160723,product_view,2024-09-24 16:29:00,14071,0.0,0
7202846,2076769,5231937,checkout,2024-04-15 20:47:00,13610,0.0,0
6165592,3319341,2730612,add_to_cart,2024-11-23 17:59:00,12442,0.0,0
7754344,2406020,5934156,add_to_cart,2024-10-16 10:45:00,11870,0.0,0
9329161,1726829,3266878,purchase,2024-01-07 13:35:00,15454,576.04,2
8986253,4559063,4680637,homepage,2024-11-26 17:30:00,18759,0.0,0
7469896,1649290,5900842,homepage,2024-08-10 23:22:00,14388,0.0,0
9365539,1338841,2606856,product_view,2024-10-02 21:47:00,17944,0.0,0
7620976,4365195,3511777,checkout,2024-12-07 20:21:00,11246,0.0,0
7387674,1556466,3369985,homepage,2024-09-05 17:46:00,10498,0.0,0
6654412,2497541,5271744,homepage,2024-12-08 14:19:00,19383,0.0,0
7236419,2399049,2591557,product_view,2024-07-10 17:24:00,13564,0.0,0
7236897,3705237,5578749,homepage,2024-01-17 22:01:00,11686,0.0,0
7593546,4790954,2137415,homepage,2024-04-02 02:49:00,13884,0.0,0
6118718,1570702,5836807,homepage,2024-09-06 22:27:00,18048,0.0,0
8186404,4025503,5494019,homepage,2024-05-14 05:48:00,13152,0.0,0
7290632,1624727,3846101,homepage,2024-06-20 11:30:00,11067,0.0,0
7271188,4233604,2159881,homepage,2024-10-10 13:21:00,11420,0.0,0
9224605,4577396,4113398,homepage,2024-02-07 15:35:00,16250,0.0,0
8705744,1300755,6295091,product_view,2024-07-17 19:33:00,19807,0.0,0
7821196,3186326,2714807,add_to_cart,2024-06-21 00:33:00,19136,0.0,0
9456512,4738157,2319386,product_view,2024-04-06 20:00:00,14087,0.0,0
8287185,1896746,4109519,product_view,2024-02-15 21:26:00,16039,0.0,0
6259460,1715062,4027275,checkout,2024-07-05 00:26:00,10894,0.0,0
6671207,4596576,7550379,homepage,2024-06-29 07:49:00,10977,0.0,0
7971581,2281977,4857252,add_to_cart,2024-07-26 18:09:00,17271,0.0,0
7155254,1137229,2758717,add_to_cart,2024-09-13 02:02:00,18730,0.0,0
6761690,1839526,5619861,homepage,2024-11-23 09:49:00,10584,0.0,0
6738845,3321189,5529312,homepage,2024-09-10 21:30:00,10733,0.0,0
8044895,2807749,3229281,product_view,2024-04-29 18:34:00,18563,0.0,0
9523619,3624631,7087477,product_view,2024-09-04 06:03:00,12399,0.0,0
7853417,3643538,2722415,add_to_cart,2024-03-19 18:18:00,13853,0.0,0
8778352,4164712,7654772,product_view,2024-08-15 12:55:00,15160,0.0,0
6441976,2958184,6882513,checkout,2024-08-24 01:30:00,15999,0.0,0
8780947,3353160,3709198,add_to_cart,2024-01-06 04:35:00,12487,0.0,0
8715927,2374978,4536039,add_to_cart,2024-08-21 06:35:00,19809,0.0,0
8343535,2844330,6273048,purchase,2024-01-11 08:45:00,15901,684.37,4
6561809,2750286,7150087,homepage,2024-06-29 23:22:00,17723,0.0,0
9482969,4959523,2975539,add_to_cart,2024-05-19 14:49:00,12009,0.0,0
9981029,1501835,6155161,homepage,2024-11-20 14:20:00,10381,0.0,0
7361306,3657498,5902642,homepage,2024-01-01 03:42:00,13121,0.0,0
8207258,3486038,2968667,add_to_cart,2024-11-12 02:08:00,15641,0.0,0
7460648,3817824,5098761,checkout,2024-09-18 12:07:00,12209,0.0,0
8414097,4367098,4551381,checkout,2024-12-28 03:01:00,10053,0.0,0
7989639,4014969,2249659,add_to_cart,2024-02-12 14:47:00,14111,0.0,0
8881919,4849563,3928808,product_view,2024-01-05 18:17:00,15918,0.0,0
8450065,1153330,2622008,purchase,2024-07-12 02:30:00,13242,583.65,2
9969750,4457958,2744180,checkout,2024-10-06 23:41:00,10098,0.0,0
8086974,4687252,6617453,product_view,2024-11-21 13:47:00,19496,0.0,0
7386383,3976575,6739845,checkout,2024-01-15 11:00:00,18621,0.0,0
9624532,2538715,7607964,product_view,2024-05-14 16:07:00,19692,0.0,0
8682892,4368995,2626852,product_view,2024-01-17 19:10:00,13437,0.0,0
